title	link	description	pubDate
"NH투자<b>증권</b>, <b>MZ</b>세대 '투자 놀이터' 온라인 개장"	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010678156	회사에 따르면 투자가 문화로는 디지털상의 NH투자<b>증권</b>의 브랜딩 공간으로 비대면 문화 확산 속에서 시공간 제약 없는 새로운 고객 경험을 제공하기 위해 마련됐다. 투자 경험이 없는 <b>MZ</b>세대(1980~2000년대생) 고객들이... 	"Mon, 23 Aug 2021 15:28:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥한 '투자가 문화로' 플랫폼 오픈"	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=215&aid=0000979995	NH투자<b>증권</b>이 <b>MZ</b>세대를 겨냥한 플랫폼 '투자가 문화로'를 오픈했다. 23일 NH투자<b>증권</b>은 브랜드 디지털 플랫폼 '투자가 문화로'를 공개했다고 밝혔다. '투자가 문화로'는 NH투자<b>증권</b>의 디지털 브랜딩 공간으로 비대면 문화... 	"Mon, 23 Aug 2021 15:14:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 ‘투자가 문화로’ 브랜드 디지털 플랫폼 오픈"	https://www.etoday.co.kr/news/view/2055837	"NH투자<b>증권</b> 관계자는 “언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다”며 “’투자가 문화로’를 통해 당사는 미래 주요 고객층인... "	"Mon, 23 Aug 2021 10:44:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 플랫폼 오픈"	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005017675	"NH투자<b>증권</b>(005940)이 <b>MZ</b>세대(1980년대 초∼2000년대 초 출생자)를 공략한 브랜드 디지털 플랫폼 ‘투자가 문화로’를 선보인다고 23일 밝혔다. ‘투자가 문화로’는 NH투자<b>증권</b>의 디지털 브랜딩 플랫폼으로, 투자 경험이... "	"Mon, 23 Aug 2021 12:07:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 ‘투자가 문화로’ 브랜드 디지털 플랫폼 오픈"	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004957544	"NH투자<b>증권</b> 관계자는 “언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다”며 “’투자가 문화로’를 통해 당사는 미래 주요 고객층인... "	"Mon, 23 Aug 2021 10:43:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b> 맞춤 '투자놀이터' 오픈"	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004696181	NH투자<b>증권</b>이 <b>MZ</b>세대(1980년대 초~2000년대 초 출생)에 최적화된 투자놀이터를 선보였다. NH투자<b>증권</b>은 브랜드 디지털 플랫폼 ‘투자가 문화로’를 공개했다고 23일 밝혔다. 게임과 같은 놀이처럼 주식과 투자문화를... 	"Mon, 23 Aug 2021 10:45:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 투자 플랫폼 선봬"	https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2021082317210814905	투자가 문화로는 디지털상의 NH투자<b>증권</b>의 브랜딩 공간으로 비대면 문화 확산 속에서 시공간 제약 없는 새로운 고객 경험을 제공하기 위해 마련됐다. 투자 경험이 없는 <b>MZ</b>세대(1980~2000년대생) 고객들이 부담 없이 투자를... 	"Mon, 23 Aug 2021 17:26:00 +0900"
"NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 브랜드 디지털 플랫폼 오픈"	https://www.ebn.co.kr/news/view/1497434/?sc=Naver	"NH투자<b>증권</b> 관계자는 &quot;언택트 시대에 <b>MZ</b>세대들에게 투자 진입 장벽을 낮추고, 투자자들에게 다양한 투자 경험을 제공하기 위해 이런 이벤트를 마련했다&quot;며 &quot;투자가 문화로를 통해 당사는 미래 주요 고객층인 <b>MZ</b>세대와의... "	"Mon, 23 Aug 2021 13:08:00 +0900"
[<b>증권</b>데이톡] NH·DB·키움<b>증권</b> 외	http://www.newsprime.co.kr/news/article.html?no=551375	"23일 증권업계 상품 출시 및 이벤트 ◆NH투자<b>증권</b>, <b>MZ</b>세대 겨냥 '투자가 문화로' 선봬 NH투자증권이 브랜드 디지털 플랫폼 ‘투자가 문화로’를 공개했다. '투자가 문화로'는 디지털상의 NH투자증권의 브랜딩 공간으로... "	"Mon, 23 Aug 2021 17:02:00 +0900"
"'자본확대' NH투자<b>증권</b>, 全세대 맞춤형 플랫폼 속도"	https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002523601	NH투자<b>증권</b>이 <b>MZ</b>세대를 겨냥한 사업만 추진 중인 것은 아니다. NH투자<b>증권</b>은 100세시대연구소를 통해 전 세대와 소통을 꾀하고 있다. NH투자<b>증권</b>은 25일 유튜브 세미나 형식으로 모바일트레이딩시스템(MTS) 활용 세미나를... 	"Wed, 25 Aug 2021 05:00:00 +0900"
